date,Mkt_RF,SMB,HML
19980529,-0.0307,-0.0355,0.0411
19980630,0.0318,-0.0314,-0.022
19980731,-0.0246,-0.0492,-0.0116
19980831,-0.1608,-0.0575,0.0522
19980930,0.0615,-0.0017,-0.0387
19981030,0.0713,-0.0319,-0.0275
19981130,0.061,0.0113,-0.0344
19981231,0.0616,-0.003,-0.047
19990129,0.035,0.0086,-0.0556
19990226,-0.0408,-0.0554,0.0156
19990331,0.0345,-0.0384,-0.029
19990430,0.0433,0.0318,0.0243
19990528,-0.0246,0.0362,0.0268
19990630,0.0477,0.0346,-0.0419
19990730,-0.0347,0.0221,0.0054
19990831,-0.0138,-0.0134,-0.0088
19990930,-0.0281,0.0318,-0.0304
19991029,0.0613,-0.0679,-0.0318
19991130,0.0337,0.0776,-0.0796
19991231,0.0772,0.07,-0.0917
20000131,-0.0474,0.0437,0.0026
20000229,0.0245,0.2202,-0.1261
20000331,0.052,-0.1641,0.0765
20000428,-0.064,-0.077,0.0909
20000531,-0.0442,-0.0486,0.0372
20000630,0.0464,0.1369,-0.1003
20000731,-0.0251,-0.0279,0.0849
20000831,0.0703,-0.0092,-0.0123
20000929,-0.0545,-0.0194,0.068
20001031,-0.0276,-0.0362,0.0481
20001130,-0.1072,-0.0315,0.1232
20001229,0.0119,0.0152,0.0617
20010131,0.0313,0.071,-0.0574
20010228,-0.1005,-0.0118,0.1389
20010330,-0.0726,0.0055,0.0634
20010430,0.0794,0.0029,-0.0436
20010531,0.0072,0.03,0.0277
20010629,-0.0194,0.0643,-0.0227
20010731,-0.0213,-0.0423,0.0564
20010831,-0.0646,0.0208,0.0342
20010928,-0.0925,-0.0659,0.0177
20011031,0.0246,0.0688,-0.0706
20011130,0.0754,0.0032,0.0075
20011231,0.0161,0.0513,0.0045
20020131,-0.0144,0.0111,0.0346
20020228,-0.0229,-0.0162,0.0392
20020328,0.0424,0.0432,0.0114
20020430,-0.052,0.0585,0.0422
20020531,-0.0138,-0.037,0.0251
20020628,-0.0721,0.0353,0.0149
20020731,-0.0818,-0.0519,-0.0365
20020830,0.005,-0.0226,0.0229
20020930,-0.1035,0.0271,0.0124
20021031,0.0784,-0.0296,-0.0646
20021129,0.0596,0.0315,-0.0154
20021231,-0.0576,-0.0046,0.0387
20030131,-0.0257,0.0139,-0.0084
20030228,-0.0188,-0.0029,-0.0144
20030331,0.0109,0.0074,-0.0159
20030430,0.0822,0.0108,-0.0004
20030530,0.0605,0.0483,0.0009
20030630,0.0142,0.015,0.0073
20030731,0.0235,0.0551,-0.0207
20030829,0.0234,0.027,0.0171
20030930,-0.0124,0.0058,0.0098
20031031,0.0608,0.0288,0.0179
20031128,0.0135,0.0223,0.0146
20031231,0.0429,-0.0279,0.027
20040130,0.0215,0.0267,0.0155
20040227,0.014,-0.0117,0.0045
20040331,-0.0132,0.0184,0.0007
20040430,-0.0183,-0.0259,-0.0167
20040528,0.0117,-0.001,-0.0033
20040630,0.0186,0.0232,0.0167
20040730,-0.0406,-0.038,0.0452
20040831,0.0008,-0.0159,0.0113
20040930,0.016,0.0293,0.0039
20041029,0.0143,0.0044,-0.0083
20041130,0.0454,0.0416,0.0194
20041231,0.0343,0.0018,-0.0036
20050131,-0.0276,-0.0163,0.0267
20050228,0.0189,-0.0066,0.0285
20050331,-0.0197,-0.0139,0.0175
20050429,-0.0261,-0.04,-0.0047
20050531,0.0365,0.0299,-0.0124
20050630,0.0057,0.0259,0.0282
20050729,0.0392,0.0278,-0.0048
20050831,-0.0122,-0.0089,0.0145
20050930,0.0049,-0.0068,0.0113
20051031,-0.0202,-0.0103,-0.0069
20051130,0.0361,0.0099,-0.0179
20051230,-0.0025,-0.0052,0.0049
20060131,0.0304,0.0532,0.012
20060228,-0.003,-0.0032,-0.0082
20060331,0.0146,0.0355,-0.001
20060428,0.0073,-0.0124,0.0307
20060531,-0.0357,-0.0306,0.0281
20060630,-0.0035,-0.0054,0.0159
20060731,-0.0078,-0.04,0.0327
20060831,0.0203,0.0083,-0.0176
20060929,0.0184,-0.0124,-0.0043
20061031,0.0323,0.0163,0.0048
20061130,0.0171,0.0078,0.0048
